Strike,Maturity,Price,stdPrice
2885.0,0.07400000000000001,154.0047083608759,221.9024890405742
2885.0,0.131,167.98654777642506,230.8934580884593
2890.0,0.005,71.25598540096289,81.07474403763278
2890.0,0.011,89.84966494859863,138.46931267850047
2890.0,0.016,100.87958318464706,161.03427014559088
2890.0,0.07400000000000001,156.84590436366267,223.5160339133623
2895.0,0.005,73.79796369265809,83.33350924811715
2895.0,0.011,91.34744991537886,139.47659633803121
2900.0,0.005,76.32359789712312,85.55174536306893
2900.0,0.011,93.48973934407202,141.76041603083831
2900.0,0.036000000000000004,131.59350509840525,212.68283133016538
2900.0,0.591,223.98235025831198,355.41772966436724
2900.0,2.585,445.20016404479105,627.2177970370767
2905.0,0.005,78.80372535978681,87.74518825615513
2905.0,0.055,149.99435683601948,223.23321361321092
2910.0,0.036000000000000004,136.61924319017385,215.4155169484947
2910.0,0.112,176.225951515072,238.22065512858288
2915.0,0.005,84.17607209934677,92.15358343275959
2915.0,0.055,155.04303151530658,227.1525647783992
2920.0,0.011,102.32042311748278,148.6457878639418
2920.0,0.016,114.56766494541864,172.3184106689616
2920.0,0.036000000000000004,140.88112480933952,217.65656788851538
2920.0,0.055,157.5075643425515,228.8373295668281
2925.0,0.016,116.85684177794059,174.1606813817684
2925.0,0.03,138.58252593037082,211.87677616678772
2925.0,0.112,182.09800855115896,243.7262430483204
2925.0,0.17,193.89766664466455,252.15519952438498
2925.0,0.342,212.73638491605323,282.7342676028428
2930.0,0.005,92.45319127716729,98.3673837250308
2930.0,0.011,106.72375753242892,151.8185841184305
2930.0,0.03,140.63091849701019,212.20548023633967
2930.0,0.055,162.69243276658048,233.2114889867939
2930.0,0.093,179.58518682491123,243.68448893761723
2935.0,0.011,109.37592164750335,153.64062693352759
2935.0,0.036000000000000004,148.5628823768921,222.57361538649613
2940.0,0.016,123.5979209415913,178.2242141940117
2940.0,0.036000000000000004,151.01277817141738,224.60605882577804
2940.0,0.07400000000000001,181.44646298582606,243.56023785394697
2945.0,0.005,101.05593238961059,104.87927051315954
2945.0,0.011,114.07801187891319,157.59509782473617
2945.0,0.036000000000000004,152.4771131854782,224.98860750107406
2950.0,0.027000000000000003,148.34715446530754,213.5087076019699
2950.0,0.093,189.25744912257008,250.74324451944906
2950.0,0.17,205.44033517487418,260.78403843252795
2950.0,0.342,227.38773425945243,292.5157860525024
2955.0,0.005,106.39815438047991,108.30433600543567
2955.0,0.016,132.56545299839908,183.54972014216838
2955.0,0.17,210.19856148119746,264.88645747361613
2960.0,0.044,167.30328285728731,236.92020832020899
2960.0,0.07400000000000001,189.0284317697719,249.9774923733268
2965.0,0.17,215.58141903141,267.4280377072562
2970.0,0.011,127.85808166029753,165.75461632181538
2980.0,0.011,134.52997024438332,169.03302351295648
3000.0,0.016,161.43657570648685,197.17253033381866
3000.0,0.027000000000000003,178.50112054599137,227.88042688674676
3000.0,0.063,208.5014021038953,261.9141035904737
3000.0,0.591,273.5317616309573,387.0744404850245
3000.0,1.588,398.28750386668275,611.4549901681498
3005.0,0.016,164.70065495952431,197.83520809189005
